,QE_I04,QE_I05,QE_I08,NT_GER,QE_I04n,QE_I05n,QE_I08n
0,B,B,A,36.4,2,2,1
1,B,B,A,66.3,2,2,1
2,D,D,A,27.3,4,4,1
3,C,B,B,54.6,3,2,2
4,C,D,A,34.8,3,4,1
5,D,B,A,44.2,4,2,1
6,A,A,A,34.1,1,1,1
7,E,C,C,38.9,5,3,3
8,D,B,C,47.6,4,2,3
9,B,B,A,41.4,2,2,1
10,E,F,C,58.3,5,6,3
11,B,B,A,41.1,2,2,1
12,A,B,A,42.5,1,2,1
13,A,B,A,61.2,1,2,1
14,A,B,A,35.0,1,2,1
15,B,C,A,52.9,2,3,1
16,C,B,A,24.2,3,2,1
17,B,D,C,40.3,2,4,3
18,B,C,A,39.8,2,3,1
19,B,B,B,47.3,2,2,2
20,A,B,B,59.9,1,2,2
21,A,B,B,41.0,1,2,2
22,B,B,B,53.2,2,2,2
23,B,B,B,65.1,2,2,2
24,A,B,A,38.7,1,2,1
25,B,B,B,30.7,2,2,2
26,B,C,A,58.0,2,3,1
27,A,B,B,54.5,1,2,2
28,A,B,A,33.8,1,2,1
29,C,D,A,62.7,3,4,1
30,D,D,A,44.6,4,4,1
31,B,B,A,42.7,2,2,1
32,B,B,B,45.6,2,2,2
33,B,B,A,37.5,2,2,1
34,C,D,A,55.7,3,4,1
35,A,A,B,48.4,1,1,2
36,D,B,A,31.5,4,2,1
37,D,C,A,31.1,4,3,1
38,A,A,B,70.7,1,1,2
39,A,B,B,32.1,1,2,2
40,B,B,B,55.9,2,2,2
41,B,D,A,41.9,2,4,1
42,A,D,A,36.1,1,4,1
43,B,B,A,40.3,2,2,1
44,A,D,A,34.9,1,4,1
45,B,A,A,31.8,2,1,1
46,A,B,D,46.3,1,2,4
47,A,B,A,27.3,1,2,1
48,B,B,A,64.1,2,2,1
49,B,E,A,54.3,2,5,1
50,A,A,B,35.2,1,1,2
51,B,B,B,48.2,2,2,2
52,B,B,A,42.5,2,2,1
53,C,B,A,38.7,3,2,1
54,B,B,A,43.8,2,2,1
55,A,A,A,38.0,1,1,1
56,B,C,B,53.6,2,3,2
57,B,A,A,61.1,2,1,1
